"phase","group_name","team_1","team_2","extra_time","penalties","winner"
R16,N/A,Ecuador,USA,Yes,No,USA
Q,N/A,Germany,Brazil,Yes,No,Brazil
Q,N/A,Spain,Switzerland,Yes,Yes,Switzerland
SF,N/A,France,Switzerland,No,No,France
SF,N/A,Argentina,Brazil,No,No,Brazil
Q,N/A,England,France,Yes,Yes,France
"3P",N/A,Switzerland,Argentina,Yes,Yes,Argentina
GR,D,Denmark,Tunisia,N/A,N/A,Draw
GR,C,Mexico,Poland,N/A,N/A,Draw
GR,F,Morocco,Croatia,N/A,N/A,Croatia
GR,A,Netherlands,Ecuador,N/A,N/A,Ecuador
R16,N/A,England,Senegal,No,No,England
R16,N/A,Argentina,Tunisia,No,No,Argentina
R16,N/A,France,Mexico,No,No,France
R16,N/A,Germany,Morocco,No,No,Germany
R16,N/A,Croatia,Spain,No,No,Spain
R16,N/A,Brazil,Portugal,No,No,Brazil
R16,N/A,Korea Republic,Switzerland,No,No,Switzerland
GR,H,Korea Republic,Ghana,N/A,N/A,Draw
GR,A,Netherlands,Qatar,N/A,N/A,Netherlands
GR,G,Switzerland,Cameroon,N/A,N/A,Draw
GR,B,Iran,USA,N/A,N/A,USA
GR,A,Qatar,Ecuador,N/A,N/A,Ecuador
GR,B,England,Iran,N/A,N/A,England
Q,N/A,USA,Argentina,No,No,Argentina
GR,A,Senegal,Netherlands,N/A,N/A,Draw
GR,C,Argentina,Saudi Arabia,N/A,N/A,Argentina
GR,D,France,Australia,N/A,N/A,France
GR,E,Germany,Japan,N/A,N/A,Germany
GR,E,Spain,Costa Rica,N/A,N/A,Spain
GR,F,Belgium,Canada,N/A,N/A,Canada
GR,H,Uruguay,Korea Republic,N/A,N/A,Draw
F,N/A,France,Brazil,No,No,Brazil
GR,H,Portugal,Ghana,N/A,N/A,Portugal
GR,G,Brazil,Serbia,N/A,N/A,Brazil
GR,B,Wales,Iran,N/A,N/A,Draw
GR,A,Qatar,Senegal,N/A,N/A,Draw
GR,D,Tunisia,Australia,N/A,N/A,Draw
GR,C,Poland,Saudi Arabia,N/A,N/A,Draw
GR,D,France,Denmark,N/A,N/A,France
GR,C,Argentina,Mexico,N/A,N/A,Draw
GR,E,Japan,Costa Rica,N/A,N/A,Japan
GR,F,Belgium,Morocco,N/A,N/A,Morocco
GR,F,Croatia,Canada,N/A,N/A,Croatia
GR,E,Spain,Germany,N/A,N/A,Draw
GR,G,Cameroon,Serbia,N/A,N/A,Draw
GR,G,Brazil,Switzerland,N/A,N/A,Brazil
GR,H,Portugal,Uruguay,N/A,N/A,Draw
GR,A,Ecuador,Senegal,N/A,N/A,Senegal
GR,B,Wales,England,N/A,N/A,England
GR,D,Australia,Denmark,N/A,N/A,Draw
GR,D,Tunisia,France,N/A,N/A,Draw
GR,B,USA,Wales,N/A,N/A,Wales
GR,B,England,USA,N/A,N/A,Draw
GR,E,Costa Rica,Germany,N/A,N/A,Germany
GR,H,Korea Republic,Portugal,N/A,N/A,Korea Republic
GR,C,Saudi Arabia,Mexico,N/A,N/A,Mexico
GR,C,Poland,Argentina,N/A,N/A,Argentina
GR,F,Canada,Morocco,N/A,N/A,Draw
GR,F,Croatia,Belgium,N/A,N/A,Belgium
GR,E,Japan,Spain,N/A,N/A,Draw
GR,H,Ghana,Uruguay,N/A,N/A,Draw
GR,G,Cameroon,Brazil,N/A,N/A,Brazil
GR,G,Serbia,Switzerland,N/A,N/A,Switzerland
