"id","player","position","team","age","year_of_birth","matches_played","starts","minutes_played","_90_minutes_played","goals","assists","non_penalty_goals","penalties_converted","penalties_taken","yellow_cards","red_cards","goals_per_90_minutes","assists_per_90_minutes","goals_and_assists_per_90_minutes","goals_excluding_penalties_per_90_minutes","goals_and_assists_excluding_penalties_per_90_minutes","xg","xag","non_penalty_xg"
1,Brenden Aaronson,MF,USA,21,2000,4,0,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.18,0.06
2,Ali Abdi,DF,Tunisia,28,1993,3,2,188,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.02,0
3,Salis Abdul Samed,MF,Ghana,22,2000,3,3,250,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01
4,Saud Abdulhamid,DF,Saudi Arabia,22,1999,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.01,0.02,0.01
5,Nawaf Al Abed,MF,Saudi Arabia,32,1990,2,0,88,1,0,0,0,0,0,1,0,0,0,0,0,0,0.13,0.06,0.13
6,Pape Abou Cissé,DF,Senegal,26,1995,3,1,105,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Vincent Aboubakar,FW,Cameroon,30,1992,3,1,142,1.6,2,1,2,0,0,2,1,1.27,0.63,1.9,1.27,1.9,0.37,0.39,0.37
8,Abdulrahman Al-Aboud,MF,Saudi Arabia,27,1995,2,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.06,0.18
9,Zakaria Aboukhlal,MF,Morocco,22,2000,4,0,79,0.9,1,0,1,0,0,0,0,1.14,0,1.14,1.14,1.14,1.16,0,1.16
10,Kellyn Acosta,MF,USA,26,1995,2,0,43,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,Marcos Acuńa,DF,Argentina,30,1991,6,4,373,4.1,0,0,0,0,0,3,0,0,0,0,0,0,0.02,0.07,0.02
12,Tyler Adams,MF,USA,23,1999,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0.01,0.11,0.01
13,Sam Adekugbe,DF,Canada,27,1995,3,1,95,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.09,0
14,Michel Aebischer,MF,Switzerland,25,1997,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Akram Afif,FW,Qatar,25,1996,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.02,0.1,0.02
16,Nayef Aguerd,DF,Morocco,26,1996,4,4,353,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,0.04
17,Brandon Aguilera,MF,Costa Rica,18,2003,3,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Homam Ahmed,DF,Qatar,22,1999,3,3,262,2.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0
19,Manuel Akanji,DF,Switzerland,26,1995,4,4,360,4,1,0,1,0,0,1,0,0.25,0,0.25,0.25,0.25,0.28,0.03,0.28
20,Nathan Aké,DF,Netherlands,27,1995,5,5,479,5.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,Ahmed Alaaeldin,FW,Qatar,29,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Jordi Alba,DF,Spain,33,1989,4,3,264,2.9,0,2,0,0,0,0,0,0,0.68,0.68,0,0.68,0.01,0.31,0.01
23,Toby Alderweireld,DF,Belgium,33,1989,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,0,0.11,0
24,Trent Alexander-Arnold,DF,England,23,1998,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Almoez Ali,FW,Qatar,25,1996,3,3,224,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0.15,0,0.15
26,Alisson,GK,Brazil,29,1992,4,4,379,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Joe Allen,MF,Wales,32,1990,2,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0.1
28,Thiago Almada,MF,Argentina,21,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16,0
29,Roberto Alvarado,FW,Mexico,23,1998,1,0,18,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,Edson Álvarez,MF,Mexico,24,1997,2,2,175,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0.01,0.11,0.01
31,Julián Álvarez,FW,Argentina,22,2000,7,5,464,5.2,4,0,4,0,0,0,0,0.78,0,0.78,0.78,0.78,0.51,0.02,0.51
32,Kevin Álvarez,DF,Mexico,23,1999,2,1,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Dani Alves,DF,Brazil,39,1983,2,1,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.14
34,Selim Amallah,MF,Morocco,25,1996,7,4,409,4.5,0,0,0,0,0,1,0,0,0,0,0,0,0.05,0.02,0.05
35,Daniel Amartey,DF,Ghana,27,1994,3,3,251,2.8,0,0,0,0,0,2,0,0,0,0,0,0,0.08,0.03,0.08
36,Ethan Ampadu,DF,Wales,21,2000,3,3,255,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.04,0.01
37,Sofyan Amrabat,MF,Morocco,25,1996,7,7,660,7.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0
38,Abdulelah Al-Amri,DF,Saudi Arabia,25,1997,3,2,182,2,0,0,0,0,0,2,0,0,0,0,0,0,0.03,0,0.03
39,Joachim Andersen,DF,Denmark,26,1996,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,0.03,0.08,0.03
40,Karim Ansarifard,MF,Iran,32,1990,2,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.2,0.17
41,Antony,FW,Brazil,22,2000,4,1,172,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.08,0.15
42,Uriel Antuna,MF,Mexico,24,1997,3,0,77,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.02,0.18
43,Néstor Araujo,DF,Mexico,30,1991,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,Takuma Asano,FW,Japan,27,1994,4,0,165,1.8,1,0,1,0,0,0,0,0.55,0,0.55,0.55,0.55,0.44,0.17,0.44
45,Marco Asensio,FW,Spain,26,1996,4,3,229,2.5,1,0,1,0,0,0,0,0.39,0,0.39,0.39,0.39,0.48,0.02,0.48
46,Ali Assadalla,MF,Qatar,29,1993,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Lawrence Ati-Zigi,GK,Ghana,25,1996,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Nathaniel Atkinson,DF,Australia,23,1999,1,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Yahya Attiat Allah,DF,Morocco,27,1995,6,2,318,3.5,0,1,0,0,0,0,0,0,0.28,0.28,0,0.28,0.07,0.37,0.07
50,André Ayew,MF,Ghana,32,1989,3,3,198,2.2,1,0,1,0,1,1,0,0.45,0,0.45,0.45,0.45,0.52,0,0.16
51,Jordan Ayew,FW,Ghana,30,1991,3,2,136,1.5,0,1,0,0,0,0,0,0,0.66,0.66,0,0.66,0.03,0.32,0.03
52,Sardar Azmoun,FW,Iran,27,1995,3,2,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.05,0.67
53,César Azpilicueta,DF,Spain,32,1989,2,2,135,1.5,0,1,0,0,0,0,0,0,0.67,0.67,0,0.67,0,0.45,0
55,Keanu Baccus,MF,Australia,24,1998,4,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04
56,Alexander Bah,DF,Denmark,24,1997,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.14,0.11
57,Hattan Bahebri,MF,Saudi Arabia,29,1992,2,0,4,0,0,1,0,0,0,1,0,0,22.5,22.5,0,22.5,0,14.37,0
58,Alejandro Balde,DF,Spain,18,2003,4,1,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04
59,Gareth Bale,FW,Wales,32,1989,3,3,225,2.5,1,0,0,1,1,1,0,0.4,0,0.4,0,0,0.32,0.08,0.01
60,Fodé Ballo-Touré,DF,Senegal,25,1997,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Badr Banoun,DF,Morocco,28,1993,3,0,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Meshaal Barsham,GK,Qatar,24,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Christian Bassogog,MF,Cameroon,26,1995,1,0,24,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65,Michy Batshuayi,FW,Belgium,28,1993,2,2,151,1.7,1,0,1,0,0,0,0,0.6,0,0.6,0.6,0.6,0.45,0.03,0.45
66,Jan Bednarek,DF,Poland,26,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Aziz Behich,DF,Australia,31,1990,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0.03,0,0.03
