"opposite","opposite_number_of_players_used","opposite_average_age_of_the_team","opposite_average_posession","opposite_total_playing_time","opposite_90_minutes_played","opposite_goals","opposite_assists","opposite_non_penalty_golas","opposite_penalties_converted","opposite_penalties_taken","opposite_yellow_cards","opposite_red_cards","opposite_goals_per_90_minutes","opposite_assists_per_90_minutes","opposite_goals_and_assists_per_90_minutes","opposite_goals_excluding_penalties_per_90_minutes","opposite_goals_and_assists_excluding_penalties_per_90_minutes","opposite_xg","opposite_non_penalty_xg","opposite_xag","opposite_non_penalty_xg_and_xag","opposite_xg_per_90_minutes","opposite_xag_per_90_minutes","opposite_xg_and_xag_per_90_minutes","opposite_non_penalty_xg_per_90_minutes","opposite_non_penalty_xg_and_xag_per_90_minutes","id","team","number_of_payers_used","average_age_of_the_team","average_posession","matches_played","total_playing_time","_90_minutes_played","goals","assists","non_penalty_golas","penalties_converted","penalties_taken","yellow_cards","red_cards","goals_per_90_minutes","assists_per_90_minutes","goals_and_assists_per_90_minutes","goals_excluding_penalties_per_90_minutes","goals_and_assists_excluding_penalties_per_90_minutes","xg","non_penalty_xg","xag","non_penalty_xg_and_xag","xg_per_90_minutes","xag_per_90_minutes","xg_and_xag_per_90_minutes","non_penalty_xg_per_90_minutes","non_penalty_xg_and_xag_per_90_minutes"
Argentina,24,27.5,42.6,690,7.7,7,4,5,2,2,26,1,0.91,0.52,1.43,0.65,1.17,4.6,3.1,2.5,5.5,0.6,0.32,0.92,0.4,0.72,1,Argentina,24,27.5,57.4,7,690,7.7,15,8,11,4,5,17,0,1.96,1.04,3,1.43,2.48,15.2,11.4,7.8,19.3,1.98,1.02,3,1.49,2.51
Australia,20,27,62.3,360,4,6,5,6,0,0,4,0,1.5,1.25,2.75,1.5,2.75,7.2,7.2,5.8,13,1.81,1.45,3.26,1.81,3.26,2,Australia,20,27.8,37.8,4,360,4,3,3,3,0,0,7,0,0.75,0.75,1.5,0.75,1.5,2.3,2.3,1.9,4.2,0.58,0.48,1.06,0.58,1.06
Belgium,20,27.5,43,270,3,2,2,2,0,1,3,0,0.67,0.67,1.33,0.67,1.33,4.6,3.9,3.9,7.8,1.52,1.31,2.82,1.29,2.6,3,Belgium,20,29.7,57,3,270,3,1,1,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,4.7,4.7,3.8,8.5,1.57,1.27,2.85,1.57,2.85
Brazil,26,27.5,43.8,480,5.3,3,2,3,0,0,12,1,0.56,0.37,0.94,0.56,0.94,2,2,1.8,3.8,0.38,0.34,0.72,0.38,0.72,4,Brazil,26,27.6,56.2,5,480,5.3,8,6,7,1,1,6,0,1.5,1.13,2.62,1.31,2.44,12,11.2,8.2,19.4,2.24,1.54,3.79,2.09,3.64
Cameroon,22,27.1,58.3,270,3,4,4,4,0,0,6,0,1.33,1.33,2.67,1.33,2.67,5.8,5.8,4.7,10.5,1.92,1.58,3.5,1.92,3.5,5,Cameroon,22,27.2,41.7,3,270,3,4,4,4,0,0,8,1,1.33,1.33,2.67,1.33,2.67,3.4,3.4,2,5.4,1.14,0.66,1.8,1.14,1.8
Canada,19,28.1,48,270,3,7,6,7,0,0,5,0,2.33,2,4.33,2.33,4.33,3.9,3.9,3.7,7.6,1.3,1.23,2.52,1.3,2.52,6,Canada,19,27.3,52,3,270,3,1,1,1,0,1,8,0,0.33,0.33,0.67,0.33,0.67,4.2,3.6,2.8,6.4,1.41,0.95,2.35,1.18,2.13
Costa Rica,22,26.9,68.7,270,3,11,7,10,1,1,3,0,3.67,2.33,6,3.33,5.67,10.1,9.3,7.1,16.5,3.38,2.37,5.75,3.11,5.49,7,Costa Rica,22,29.7,31.3,3,270,3,3,1,3,0,0,6,0,1,0.33,1.33,1,1.33,1.4,1.4,0.6,2,0.48,0.2,0.68,0.48,0.68
Croatia,21,27.5,45.7,690,7.7,7,4,6,1,1,11,0,0.91,0.52,1.43,0.78,1.3,11,10.3,6.6,16.9,1.44,0.86,2.3,1.34,2.2,8,Croatia,21,28.3,54.3,7,690,7.7,8,8,8,0,0,8,0,1.04,1.04,2.09,1.04,2.09,7,7,5.6,12.6,0.91,0.74,1.65,0.91,1.65
Denmark,20,27.1,40,270,3,3,3,3,0,0,4,0,1,1,2,1,2,3.9,3.9,3.5,7.3,1.29,1.16,2.45,1.29,2.45,9,Denmark,20,26.6,60,3,270,3,1,1,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,2.7,2.7,1.8,4.5,0.9,0.59,1.49,0.9,1.49
Ecuador,18,27.2,46.7,270,3,3,1,2,1,1,5,0,1,0.33,1.33,0.67,1,2.6,1.8,1,2.8,0.85,0.35,1.2,0.59,0.93,10,Ecuador,18,24.9,53.3,3,270,3,4,2,3,1,1,3,0,1.33,0.67,2,1,1.67,3.7,2.9,1.8,4.7,1.24,0.6,1.84,0.98,1.58
